"Udledning af drivhusgasser efter enhed, branche, type, kilde,"
"drivhusgas, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Udledning i ton"
" ";"I alt"
" ";" ";"Faktisk udledning"
" ";" ";" ";"Fossile brændsler (olie, kul, gas)"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"København";3147637;3242347;3149243;3317246;2950117;2890833;3082568;3105337;2776878;2994456;2663391;2369830
" ";" ";" ";" ";" ";"Frederiksberg";162072;172645;142874;131198;137893;129187;121810;119514;119960;118289;135058;131610
" ";" ";" ";" ";" ";"Ballerup";194483;196521;190822;200947;200452;182655;177925;184330;189427;183477;193466;179552
" ";" ";" ";" ";" ";"Brøndby";156580;159158;157998;162557;175988;198442;215235;275695;286529;267568;280091;265606
" ";" ";" ";" ";" ";"Dragør";41558;42585;42340;43688;43424;42541;41754;40355;39744;39636;40536;35899
" ";" ";" ";" ";" ";"Gentofte";220520;226743;224085;229863;227956;216348;207821;199642;198054;200316;206112;182111
" ";" ";" ";" ";" ";"Gladsaxe";338986;351641;335226;346992;359079;375349;336145;356209;376796;289419;409344;381861
" ";" ";" ";" ";" ";"Glostrup";129069;131945;127321;127050;130878;131182;177316;163853;169979;159861;164359;152638
" ";" ";" ";" ";" ";"Herlev";117255;120112;116219;121507;123106;118840;81181;89911;74978;74058;79238;69773
" ";" ";" ";" ";" ";"Albertslund";80355;79932;76871;79831;82715;77024;75124;83173;86731;103074;101563;89709
" ";" ";" ";" ";" ";"Hvidovre";1496594;1807384;2498303;2317432;2636528;1857860;2895099;2244849;2084769;2007399;1951062;1906706
" ";" ";" ";" ";" ";"Høje-Taastrup";340859;345104;325383;322294;342688;372674;442822;584818;584615;423558;584296;561762
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";268881;277745;267345;265962;281124;278510;291380;279549;255542;236943;206570;188517
" ";" ";" ";" ";" ";"Rødovre";96986;97946;96301;98313;98337;95838;93662;98795;99303;96766;99225;92466
" ";" ";" ";" ";" ";"Ishøj";50084;49718;50879;52731;53387;52197;51151;109177;102449;94881;106635;101793
" ";" ";" ";" ";" ";"Tårnby";195564;190203;183686;192766;187305;178482;183285;239603;238693;224245;217259;182049
" ";" ";" ";" ";" ";"Vallensbæk";41560;42694;41751;33984;32795;35925;36123;35567;32089;29717;31747;29126
" ";" ";" ";" ";" ";"Furesø";101101;105966;102508;106631;107119;106197;98809;98049;101140;98293;101285;90544
" ";" ";" ";" ";" ";"Allerød";97913;101084;97242;98772;100315;95303;95389;97474;94697;93032;87219;79677
" ";" ";" ";" ";" ";"Fredensborg";137422;139403;137601;137619;133572;123177;121784;120666;116436;112111;113633;105360
" ";" ";" ";" ";" ";"Helsingør";270580;283291;276239;269612;269963;260830;248823;247575;247736;235717;270667;231642
" ";" ";" ";" ";" ";"Hillerød";311117;323151;305762;304573;305184;280566;293565;262531;243955;255700;291275;256247
" ";" ";" ";" ";" ";"Hørsholm";90382;90205;87749;91425;85961;82813;80595;75579;75312;75849;73806;65256
" ";" ";" ";" ";" ";"Rudersdal";400241;409169;401901;420466;463001;503104;514112;582337;584905;545590;544597;497433
