"Udledning af drivhusgasser efter enhed, kilde, branche, type,"
"drivhusgas, område og tid"

" ";" ";" ";" ";" ";" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011"
"Udledning i ton"
" ";"I alt"
" ";" ";"I alt"
" ";" ";" ";"Faktisk udledning"
" ";" ";" ";" ";"CO2"
" ";" ";" ";" ";" ";"København";3185250;3276342;3179315;3343887;2978033;2899059;3093069;3116681;2786466;3000913;2669415;2377177
" ";" ";" ";" ";" ";"Frederiksberg";162080;172654;142885;131200;137897;129187;121834;119533;119978;118301;135071;131626
" ";" ";" ";" ";" ";"Ballerup";194483;196521;190827;200951;200748;182875;178364;184340;189437;183484;193473;179561
" ";" ";" ";" ";" ";"Brøndby";156580;159158;157998;162557;178876;202085;221305;283712;293083;271986;284053;270437
" ";" ";" ";" ";" ";"Dragør";41558;42585;42340;43688;43424;42541;41754;40355;39744;39636;40536;35899
" ";" ";" ";" ";" ";"Gentofte";220793;226904;224852;230787;229144;219482;209630;200795;199018;200965;206710;182840
" ";" ";" ";" ";" ";"Gladsaxe";338990;351744;335263;346992;359079;375349;336145;356209;376796;289419;409344;381861
" ";" ";" ";" ";" ";"Glostrup";132936;136636;133567;132398;136083;135786;182573;167878;173908;162500;167198;156101
" ";" ";" ";" ";" ";"Herlev";117641;120857;116808;122037;123394;118964;81358;90324;75382;74329;79529;70128
" ";" ";" ";" ";" ";"Albertslund";84936;82347;79502;81705;84040;77024;75124;83173;86731;103074;101563;89709
" ";" ";" ";" ";" ";"Hvidovre";1496594;1807384;2498303;2317432;2638095;1872076;2914350;2260822;2098268;2016490;1959541;1917047
" ";" ";" ";" ";" ";"Høje-Taastrup";340878;345221;327275;322668;343025;373234;443364;584921;584715;423624;584369;561850
" ";" ";" ";" ";" ";"Lyngby-Taarbæk";268881;277745;267345;265962;281124;278510;291380;279591;255584;236971;206600;188553
" ";" ";" ";" ";" ";"Rødovre";97079;98055;96410;98336;98823;96326;94160;99142;99642;96994;99470;92764
" ";" ";" ";" ";" ";"Ishøj";50084;49718;51156;52932;53789;52471;51432;109306;102575;94966;106726;101905
" ";" ";" ";" ";" ";"Tårnby";195564;190203;183686;192766;187305;178488;183291;239603;238693;224245;217259;182049
" ";" ";" ";" ";" ";"Vallensbæk";41560;42694;41751;33992;32807;35925;36123;35567;32089;29717;31747;29126
" ";" ";" ";" ";" ";"Furesø";101333;106131;102508;106631;107133;106230;98848;98069;101159;98307;101299;90561
" ";" ";" ";" ";" ";"Allerød";97923;101133;97266;98793;100335;95331;95392;97474;94697;93032;87219;79677
" ";" ";" ";" ";" ";"Fredensborg";158308;147656;148160;151293;148346;137199;136690;135382;128765;120416;121303;114714
" ";" ";" ";" ";" ";"Helsingør";270877;283494;276450;269919;270314;261167;249025;247776;247932;235848;270809;231816
" ";" ";" ";" ";" ";"Hillerød";311306;323350;305928;304901;305559;280911;293939;262853;244268;255910;291501;256523
" ";" ";" ";" ";" ";"Hørsholm";90382;90205;87749;91425;85961;82839;80607;75589;75322;75856;73813;65264
" ";" ";" ";" ";" ";"Rudersdal";400562;409430;402117;420654;463196;503323;519402;587365;589814;548885;548145;501761
